C macros	libc-2.18-x64	libc-2.18-i686	libc-2.17-x32	libc-2.9-nacl-x64	libc-2.9-nacl-i686
SYS_timerfd_settime	__NR_timerfd_settime	__NR_timerfd_settime	__NR_timerfd_settime	???	???
SYS_times	__NR_times	__NR_times	__NR_times	__NR_times	__NR_times
SYS_tkill	__NR_tkill	__NR_tkill	__NR_tkill	__NR_tkill	__NR_tkill
SYS_truncate	__NR_truncate	__NR_truncate	__NR_truncate	__NR_truncate	__NR_truncate
SYS_tuxcall	__NR_tuxcall	???	__NR_tuxcall	__NR_tuxcall	???
SYS_umask	__NR_umask	__NR_umask	__NR_umask	__NR_umask	__NR_umask
SYS_umount2	__NR_umount2	__NR_umount2	__NR_umount2	__NR_umount2	__NR_umount2
SYS_uname	__NR_uname	__NR_uname	__NR_uname	__NR_uname	__NR_uname
SYS_unlink	__NR_unlink	__NR_unlink	__NR_unlink	__NR_unlink	__NR_unlink
SYS_unlinkat	__NR_unlinkat	__NR_unlinkat	__NR_unlinkat	__NR_unlinkat	__NR_unlinkat
SYS_unshare	__NR_unshare	__NR_unshare	__NR_unshare	__NR_unshare	__NR_unshare
SYS_uselib	__NR_uselib	__NR_uselib	???	__NR_uselib	__NR_uselib
SYS_ustat	__NR_ustat	__NR_ustat	__NR_ustat	__NR_ustat	__NR_ustat
SYS_utime	__NR_utime	__NR_utime	__NR_utime	__NR_utime	__NR_utime
SYS_utimensat	__NR_utimensat	__NR_utimensat	__NR_utimensat	__NR_utimensat	__NR_utimensat
SYS_utimes	__NR_utimes	__NR_utimes	__NR_utimes	__NR_utimes	__NR_utimes
SYS_vfork	__NR_vfork	__NR_vfork	__NR_vfork	__NR_vfork	__NR_vfork
SYS_vhangup	__NR_vhangup	__NR_vhangup	__NR_vhangup	__NR_vhangup	__NR_vhangup
SYS_vmsplice	__NR_vmsplice	__NR_vmsplice	__NR_vmsplice	__NR_vmsplice	__NR_vmsplice
SYS_vserver	__NR_vserver	__NR_vserver	???	__NR_vserver	__NR_vserver
SYS_wait4	__NR_wait4	__NR_wait4	__NR_wait4	__NR_wait4	__NR_wait4
SYS_waitid	__NR_waitid	__NR_waitid	__NR_waitid	__NR_waitid	__NR_waitid
SYS_write	__NR_write	__NR_write	__NR_write	__NR_write	__NR_write
SYS_writev	__NR_writev	__NR_writev	__NR_writev	__NR_writev	__NR_writev
S_BLKSIZE	512	512	512	512	512
S_IEXEC	S_IXUSR	S_IXUSR	S_IXUSR	S_IXUSR	S_IXUSR
S_IFBLK	__S_IFBLK	__S_IFBLK	__S_IFBLK	__S_IFBLK	__S_IFBLK
S_IFCHR	__S_IFCHR	__S_IFCHR	__S_IFCHR	__S_IFCHR	__S_IFCHR
S_IFDIR	__S_IFDIR	__S_IFDIR	__S_IFDIR	__S_IFDIR	__S_IFDIR
S_IFIFO	__S_IFIFO	__S_IFIFO	__S_IFIFO	__S_IFIFO	__S_IFIFO
S_IFLNK	__S_IFLNK	__S_IFLNK	__S_IFLNK	__S_IFLNK	__S_IFLNK
S_IFMT	__S_IFMT	__S_IFMT	__S_IFMT	__S_IFMT	__S_IFMT
S_IFREG	__S_IFREG	__S_IFREG	__S_IFREG	__S_IFREG	__S_IFREG
S_IFSOCK	__S_IFSOCK	__S_IFSOCK	__S_IFSOCK	__S_IFSOCK	__S_IFSOCK
S_IREAD	S_IRUSR	S_IRUSR	S_IRUSR	S_IRUSR	S_IRUSR
S_IRGRP	(S_IRUSR &gt;&gt; 3)	(S_IRUSR &gt;&gt; 3)	(S_IRUSR &gt;&gt; 3)	(S_IRUSR &gt;&gt; 3)	(S_IRUSR &gt;&gt; 3)
S_IROTH	(S_IRGRP &gt;&gt; 3)	(S_IRGRP &gt;&gt; 3)	(S_IRGRP &gt;&gt; 3)	(S_IRGRP &gt;&gt; 3)	(S_IRGRP &gt;&gt; 3)
S_IRUSR	__S_IREAD	__S_IREAD	__S_IREAD	__S_IREAD	__S_IREAD
S_IRWXG	(S_IRWXU &gt;&gt; 3)	(S_IRWXU &gt;&gt; 3)	(S_IRWXU &gt;&gt; 3)	(S_IRWXU &gt;&gt; 3)	(S_IRWXU &gt;&gt; 3)
S_IRWXO	(S_IRWXG &gt;&gt; 3)	(S_IRWXG &gt;&gt; 3)	(S_IRWXG &gt;&gt; 3)	(S_IRWXG &gt;&gt; 3)	(S_IRWXG &gt;&gt; 3)
S_IRWXU	(__S_IREAD|__S_IWRITE|__S_IEXEC)	(__S_IREAD|__S_IWRITE|__S_IEXEC)	(__S_IREAD|__S_IWRITE|__S_IEXEC)	(__S_IREAD|__S_IWRITE|__S_IEXEC)	(__S_IREAD|__S_IWRITE|__S_IEXEC)
S_ISBLK(mode)	__S_ISTYPE((mode), __S_IFBLK)	__S_ISTYPE((mode), __S_IFBLK)	__S_ISTYPE((mode), __S_IFBLK)	__S_ISTYPE((mode), __S_IFBLK)	__S_ISTYPE((mode), __S_IFBLK)
S_ISCHR(mode)	__S_ISTYPE((mode), __S_IFCHR)	__S_ISTYPE((mode), __S_IFCHR)	__S_ISTYPE((mode), __S_IFCHR)	__S_ISTYPE((mode), __S_IFCHR)	__S_ISTYPE((mode), __S_IFCHR)
S_ISDIR(mode)	__S_ISTYPE((mode), __S_IFDIR)	__S_ISTYPE((mode), __S_IFDIR)	__S_ISTYPE((mode), __S_IFDIR)	__S_ISTYPE((mode), __S_IFDIR)	__S_ISTYPE((mode), __S_IFDIR)
S_ISFIFO(mode)	__S_ISTYPE((mode), __S_IFIFO)	__S_ISTYPE((mode), __S_IFIFO)	__S_ISTYPE((mode), __S_IFIFO)	__S_ISTYPE((mode), __S_IFIFO)	__S_ISTYPE((mode), __S_IFIFO)
S_ISGID	__S_ISGID	__S_ISGID	__S_ISGID	__S_ISGID	__S_ISGID
S_ISLNK(mode)	__S_ISTYPE((mode), __S_IFLNK)	__S_ISTYPE((mode), __S_IFLNK)	__S_ISTYPE((mode), __S_IFLNK)	__S_ISTYPE((mode), __S_IFLNK)	__S_ISTYPE((mode), __S_IFLNK)
S_ISREG(mode)	__S_ISTYPE((mode), __S_IFREG)	__S_ISTYPE((mode), __S_IFREG)	__S_ISTYPE((mode), __S_IFREG)	__S_ISTYPE((mode), __S_IFREG)	__S_ISTYPE((mode), __S_IFREG)
S_ISSOCK(mode)	__S_ISTYPE((mode), __S_IFSOCK)	__S_ISTYPE((mode), __S_IFSOCK)	__S_ISTYPE((mode), __S_IFSOCK)	__S_ISTYPE((mode), __S_IFSOCK)	__S_ISTYPE((mode), __S_IFSOCK)
S_ISUID	__S_ISUID	__S_ISUID	__S_ISUID	__S_ISUID	__S_ISUID
S_ISVTX	__S_ISVTX	__S_ISVTX	__S_ISVTX	__S_ISVTX	__S_ISVTX
S_IWGRP	(S_IWUSR &gt;&gt; 3)	(S_IWUSR &gt;&gt; 3)	(S_IWUSR &gt;&gt; 3)	(S_IWUSR &gt;&gt; 3)	(S_IWUSR &gt;&gt; 3)
S_IWOTH	(S_IWGRP &gt;&gt; 3)	(S_IWGRP &gt;&gt; 3)	(S_IWGRP &gt;&gt; 3)	(S_IWGRP &gt;&gt; 3)	(S_IWGRP &gt;&gt; 3)
S_IWRITE	S_IWUSR	S_IWUSR	S_IWUSR	S_IWUSR	S_IWUSR
S_IWUSR	__S_IWRITE	__S_IWRITE	__S_IWRITE	__S_IWRITE	__S_IWRITE
S_IXGRP	(S_IXUSR &gt;&gt; 3)	(S_IXUSR &gt;&gt; 3)	(S_IXUSR &gt;&gt; 3)	(S_IXUSR &gt;&gt; 3)	(S_IXUSR &gt;&gt; 3)
S_IXOTH	(S_IXGRP &gt;&gt; 3)	(S_IXGRP &gt;&gt; 3)	(S_IXGRP &gt;&gt; 3)	(S_IXGRP &gt;&gt; 3)	(S_IXGRP &gt;&gt; 3)
S_IXUSR	__S_IEXEC	__S_IEXEC	__S_IEXEC	__S_IEXEC	__S_IEXEC
S_TYPEISMQ(buf)	__S_TYPEISMQ(buf)	__S_TYPEISMQ(buf)	__S_TYPEISMQ(buf)	__S_TYPEISMQ(buf)	__S_TYPEISMQ(buf)
S_TYPEISSEM(buf)	__S_TYPEISSEM(buf)	__S_TYPEISSEM(buf)	__S_TYPEISSEM(buf)	__S_TYPEISSEM(buf)	__S_TYPEISSEM(buf)
S_TYPEISSHM(buf)	__S_TYPEISSHM(buf)	__S_TYPEISSHM(buf)	__S_TYPEISSHM(buf)	__S_TYPEISSHM(buf)	__S_TYPEISSHM(buf)
TCFLSH	0x540B	0x540B	0x540B	0x540B	0x540B
TCGETA	0x5405	0x5405	0x5405	0x5405	0x5405
TCGETS	0x5401	0x5401	0x5401	0x5401	0x5401
TCGETS2	_IOR(&#39;T&#39;, 0x2A, struct termios2)	_IOR(&#39;T&#39;, 0x2A, struct termios2)	_IOR(&#39;T&#39;, 0x2A, struct termios2)	_IOR(&#39;T&#39;,0x2A, struct termios2)	_IOR(&#39;T&#39;,0x2A, struct termios2)
TCGETX	0x5432	0x5432	0x5432	???	???
TCSBRK	0x5409	0x5409	0x5409	0x5409	0x5409
TCSBRKP	0x5425	0x5425	0x5425	0x5425	0x5425
TCSETA	0x5406	0x5406	0x5406	0x5406	0x5406
TCSETAF	0x5408	0x5408	0x5408	0x5408	0x5408
TCSETAW	0x5407	0x5407	0x5407	0x5407	0x5407
TCSETS	0x5402	0x5402	0x5402	0x5402	0x5402
TCSETS2	_IOW(&#39;T&#39;, 0x2B, struct termios2)	_IOW(&#39;T&#39;, 0x2B, struct termios2)	_IOW(&#39;T&#39;, 0x2B, struct termios2)	_IOW(&#39;T&#39;,0x2B, struct termios2)	_IOW(&#39;T&#39;,0x2B, struct termios2)
TCSETSF	0x5404	0x5404	0x5404	0x5404	0x5404
TCSETSF2	_IOW(&#39;T&#39;, 0x2D, struct termios2)	_IOW(&#39;T&#39;, 0x2D, struct termios2)	_IOW(&#39;T&#39;, 0x2D, struct termios2)	_IOW(&#39;T&#39;,0x2D, struct termios2)	_IOW(&#39;T&#39;,0x2D, struct termios2)
TCSETSW	0x5403	0x5403	0x5403	0x5403	0x5403
TCSETSW2	_IOW(&#39;T&#39;, 0x2C, struct termios2)	_IOW(&#39;T&#39;, 0x2C, struct termios2)	_IOW(&#39;T&#39;, 0x2C, struct termios2)	_IOW(&#39;T&#39;,0x2C, struct termios2)	_IOW(&#39;T&#39;,0x2C, struct termios2)
TCSETX	0x5433	0x5433	0x5433	???	???
TCSETXF	0x5434	0x5434	0x5434	???	???
TCSETXW	0x5435	0x5435	0x5435	???	???
TCXONC	0x540A	0x540A	0x540A	0x540A	0x540A
TEMP_FAILURE_RETRY(expression)	(__extension__ ({ long int __result; do __result = (long int) (expression); while (__result == -1L &amp;&amp; errno == EINTR); __result; }))	(__extension__ ({ long int __result; do __result = (long int) (expression); while (__result == -1L &amp;&amp; errno == EINTR); __result; }))	(__extension__ ({ long int __result; do __result = (long int) (expression); while (__result == -1L &amp;&amp; errno == EINTR); __result; }))	(__extension__ ({ long int __result; do __result = (long int) (expression); while (__result == -1L &amp;&amp; errno == EINTR); __result; }))	(__extension__ ({ long int __result; do __result = (long int) (expression); while (__result == -1L &amp;&amp; errno == EINTR); __result; }))
TIMER_ABSTIME	1	1	1	1	1
TIMESPEC_TO_TIMEVAL(tv,ts)	{ (tv)-&gt;tv_sec = (ts)-&gt;tv_sec; (tv)-&gt;tv_usec = (ts)-&gt;tv_nsec / 1000; }	{ (tv)-&gt;tv_sec = (ts)-&gt;tv_sec; (tv)-&gt;tv_usec = (ts)-&gt;tv_nsec / 1000; }	{ (tv)-&gt;tv_sec = (ts)-&gt;tv_sec; (tv)-&gt;tv_usec = (ts)-&gt;tv_nsec / 1000; }	{ (tv)-&gt;tv_sec = (ts)-&gt;tv_sec; (tv)-&gt;tv_usec = (ts)-&gt;tv_nsec / 1000; }	{ (tv)-&gt;tv_sec = (ts)-&gt;tv_sec; (tv)-&gt;tv_usec = (ts)-&gt;tv_nsec / 1000; }
TIMEVAL_TO_TIMESPEC(tv,ts)	{ (ts)-&gt;tv_sec = (tv)-&gt;tv_sec; (ts)-&gt;tv_nsec = (tv)-&gt;tv_usec * 1000; }	{ (ts)-&gt;tv_sec = (tv)-&gt;tv_sec; (ts)-&gt;tv_nsec = (tv)-&gt;tv_usec * 1000; }	{ (ts)-&gt;tv_sec = (tv)-&gt;tv_sec; (ts)-&gt;tv_nsec = (tv)-&gt;tv_usec * 1000; }	{ (ts)-&gt;tv_sec = (tv)-&gt;tv_sec; (ts)-&gt;tv_nsec = (tv)-&gt;tv_usec * 1000; }	{ (ts)-&gt;tv_sec = (tv)-&gt;tv_sec; (ts)-&gt;tv_nsec = (tv)-&gt;tv_usec * 1000; }
TIME_UTC	1	1	1	???	???
TIOCCBRK	0x5428	0x5428	0x5428	0x5428	0x5428
TIOCCONS	0x541D	0x541D	0x541D	0x541D	0x541D
TIOCEXCL	0x540C	0x540C	0x540C	0x540C	0x540C
TIOCGDEV	_IOR(&#39;T&#39;, 0x32, unsigned int)	_IOR(&#39;T&#39;, 0x32, unsigned int)	_IOR(&#39;T&#39;, 0x32, unsigned int)	???	???
TIOCGETD	0x5424	0x5424	0x5424	0x5424	0x5424
TIOCGEXCL	_IOR(&#39;T&#39;, 0x40, int)	_IOR(&#39;T&#39;, 0x40, int)	_IOR(&#39;T&#39;, 0x40, int)	???	???
TIOCGICOUNT	0x545D	0x545D	0x545D	0x545D	0x545D
TIOCGLCKTRMIOS	0x5456	0x5456	0x5456	0x5456	0x5456
TIOCGPGRP	0x540F	0x540F	0x540F	0x540F	0x540F
TIOCGPKT	_IOR(&#39;T&#39;, 0x38, int)	_IOR(&#39;T&#39;, 0x38, int)	_IOR(&#39;T&#39;, 0x38, int)	???	???
TIOCGPTLCK	_IOR(&#39;T&#39;, 0x39, int)	_IOR(&#39;T&#39;, 0x39, int)	_IOR(&#39;T&#39;, 0x39, int)	???	???
TIOCGPTN	_IOR(&#39;T&#39;, 0x30, unsigned int)	_IOR(&#39;T&#39;, 0x30, unsigned int)	_IOR(&#39;T&#39;, 0x30, unsigned int)	_IOR(&#39;T&#39;,0x30, unsigned int)	_IOR(&#39;T&#39;,0x30, unsigned int)
TIOCGRS485	0x542E	0x542E	0x542E	???	???
TIOCGSERIAL	0x541E	0x541E	0x541E	0x541E	0x541E
TIOCGSID	0x5429	0x5429	0x5429	0x5429	0x5429
TIOCGSOFTCAR	0x5419	0x5419	0x5419	0x5419	0x5419
TIOCGWINSZ	0x5413	0x5413	0x5413	0x5413	0x5413
TIOCINQ	FIONREAD	FIONREAD	FIONREAD	FIONREAD	FIONREAD
TIOCLINUX	0x541C	0x541C	0x541C	0x541C	0x541C
TIOCMBIC	0x5417	0x5417	0x5417	0x5417	0x5417
TIOCMBIS	0x5416	0x5416	0x5416	0x5416	0x5416
TIOCMGET	0x5415	0x5415	0x5415	0x5415	0x5415
TIOCMIWAIT	0x545C	0x545C	0x545C	0x545C	0x545C
TIOCMSET	0x5418	0x5418	0x5418	0x5418	0x5418
TIOCM_CAR	0x040	0x040	0x040	0x040	0x040
TIOCM_CD	TIOCM_CAR	TIOCM_CAR	TIOCM_CAR	TIOCM_CAR	TIOCM_CAR
TIOCM_CTS	0x020	0x020	0x020	0x020	0x020
TIOCM_DSR	0x100	0x100	0x100	0x100	0x100
TIOCM_DTR	0x002	0x002	0x002	0x002	0x002
TIOCM_LE	0x001	0x001	0x001	0x001	0x001
TIOCM_RI	TIOCM_RNG	TIOCM_RNG	TIOCM_RNG	TIOCM_RNG	TIOCM_RNG
TIOCM_RNG	0x080	0x080	0x080	0x080	0x080
TIOCM_RTS	0x004	0x004	0x004	0x004	0x004
TIOCM_SR	0x010	0x010	0x010	0x010	0x010
TIOCM_ST	0x008	0x008	0x008	0x008	0x008
TIOCNOTTY	0x5422	0x5422	0x5422	0x5422	0x5422
TIOCNXCL	0x540D	0x540D	0x540D	0x540D	0x540D
TIOCOUTQ	0x5411	0x5411	0x5411	0x5411	0x5411
TIOCPKT	0x5420	0x5420	0x5420	0x5420	0x5420
TIOCPKT_DATA	0	0	0	0	0
TIOCPKT_DOSTOP	32	32	32	32	32
TIOCPKT_FLUSHREAD	1	1	1	1	1
TIOCPKT_FLUSHWRITE	2	2	2	2	2
TIOCPKT_IOCTL	64	64	64	???	???
TIOCPKT_NOSTOP	16	16	16	16	16
TIOCPKT_START	8	8	8	8	8
TIOCPKT_STOP	4	4	4	4	4
TIOCSBRK	0x5427	0x5427	0x5427	0x5427	0x5427
TIOCSCTTY	0x540E	0x540E	0x540E	0x540E	0x540E
TIOCSERCONFIG	0x5453	0x5453	0x5453	0x5453	0x5453
TIOCSERGETLSR	0x5459	0x5459	0x5459	0x5459	0x5459
TIOCSERGETMULTI	0x545A	0x545A	0x545A	0x545A	0x545A
TIOCSERGSTRUCT	0x5458	0x5458	0x5458	0x5458	0x5458
TIOCSERGWILD	0x5454	0x5454	0x5454	0x5454	0x5454
TIOCSERSETMULTI	0x545B	0x545B	0x545B	0x545B	0x545B
TIOCSERSWILD	0x5455	0x5455	0x5455	0x5455	0x5455
TIOCSER_TEMT	0x01	0x01	0x01	0x01	0x01
TIOCSETD	0x5423	0x5423	0x5423	0x5423	0x5423
TIOCSIG	_IOW(&#39;T&#39;, 0x36, int)	_IOW(&#39;T&#39;, 0x36, int)	_IOW(&#39;T&#39;, 0x36, int)	???	???
TIOCSLCKTRMIOS	0x5457	0x5457	0x5457	0x5457	0x5457
TIOCSPGRP	0x5410	0x5410	0x5410	0x5410	0x5410
TIOCSPTLCK	_IOW(&#39;T&#39;, 0x31, int)	_IOW(&#39;T&#39;, 0x31, int)	_IOW(&#39;T&#39;, 0x31, int)	_IOW(&#39;T&#39;,0x31, int)	_IOW(&#39;T&#39;,0x31, int)
TIOCSRS485	0x542F	0x542F	0x542F	???	???
TIOCSSERIAL	0x541F	0x541F	0x541F	0x541F	0x541F
TIOCSSOFTCAR	0x541A	0x541A	0x541A	0x541A	0x541A
TIOCSTI	0x5412	0x5412	0x5412	0x5412	0x5412
TIOCSWINSZ	0x5414	0x5414	0x5414	0x5414	0x5414
TIOCVHANGUP	0x5437	0x5437	0x5437	???	???
TLOSS	5	5	5	5	5
TMP_MAX	238328	238328	238328	238328	238328
TRAP_BRKPT	TRAP_BRKPT	TRAP_BRKPT	TRAP_BRKPT	TRAP_BRKPT	TRAP_BRKPT
TRAP_TRACE	TRAP_TRACE	TRAP_TRACE	TRAP_TRACE	TRAP_TRACE	TRAP_TRACE
TTYDEF_CFLAG	(CREAD | CS7 | PARENB | HUPCL)	(CREAD | CS7 | PARENB | HUPCL)	(CREAD | CS7 | PARENB | HUPCL)	(CREAD | CS7 | PARENB | HUPCL)	(CREAD | CS7 | PARENB | HUPCL)
TTYDEF_IFLAG	(BRKINT | ISTRIP | ICRNL | IMAXBEL | IXON | IXANY)	(BRKINT | ISTRIP | ICRNL | IMAXBEL | IXON | IXANY)	(BRKINT | ISTRIP | ICRNL | IMAXBEL | IXON | IXANY)	(BRKINT | ISTRIP | ICRNL | IMAXBEL | IXON | IXANY)	(BRKINT | ISTRIP | ICRNL | IMAXBEL | IXON | IXANY)
TTYDEF_LFLAG	(ECHO | ICANON | ISIG | IEXTEN | ECHOE|ECHOKE|ECHOCTL)	(ECHO | ICANON | ISIG | IEXTEN | ECHOE|ECHOKE|ECHOCTL)	(ECHO | ICANON | ISIG | IEXTEN | ECHOE|ECHOKE|ECHOCTL)	(ECHO | ICANON | ISIG | IEXTEN | ECHOE|ECHOKE|ECHOCTL)	(ECHO | ICANON | ISIG | IEXTEN | ECHOE|ECHOKE|ECHOCTL)
TTYDEF_OFLAG	(OPOST | ONLCR | XTABS)	(OPOST | ONLCR | XTABS)	(OPOST | ONLCR | XTABS)	(OPOST | ONLCR | XTABS)	(OPOST | ONLCR | XTABS)
TTYDEF_SPEED	(B9600)	(B9600)	(B9600)	(B9600)	(B9600)
TTY_NAME_MAX	32	32	32	32	32
UCHAR_MAX	(SCHAR_MAX * 2 + 1)	(SCHAR_MAX * 2 + 1)	(SCHAR_MAX * 2 + 1)	(SCHAR_MAX * 2 + 1)	(SCHAR_MAX * 2 + 1)
UINT16_C(c)	c	c	c	???	???
UINT16_MAX	(65535)	(65535)	(65535)	???	???
UINT32_C(c)	c ## U	c ## U	c ## U	???	???
UINT32_MAX	(4294967295U)	(4294967295U)	(4294967295U)	???	???
UINT64_C(c)	c ## UL	c ## ULL	c ## ULL	???	???
UINT64_MAX	(__UINT64_C(18446744073709551615))	(__UINT64_C(18446744073709551615))	(__UINT64_C(18446744073709551615))	???	???
UINT8_C(c)	c	c	c	???	???
UINT8_MAX	(255)	(255)	(255)	???	???
UINTMAX_C(c)	c ## UL	c ## ULL	c ## ULL	???	???
UINTMAX_MAX	(__UINT64_C(18446744073709551615))	(__UINT64_C(18446744073709551615))	(__UINT64_C(18446744073709551615))	???	???
UINTPTR_MAX	(18446744073709551615UL)	(4294967295U)	(4294967295U)	???	???
UINT_FAST16_MAX	(18446744073709551615UL)	(4294967295U)	(4294967295U)	???	???
UINT_FAST32_MAX	(18446744073709551615UL)	(4294967295U)	(4294967295U)	???	???
UINT_FAST64_MAX	(__UINT64_C(18446744073709551615))	(__UINT64_C(18446744073709551615))	(__UINT64_C(18446744073709551615))	???	???
UINT_FAST8_MAX	(255)	(255)	(255)	???	???
UINT_LEAST16_MAX	(65535)	(65535)	(65535)	???	???
UINT_LEAST32_MAX	(4294967295U)	(4294967295U)	(4294967295U)	???	???
UINT_LEAST64_MAX	(__UINT64_C(18446744073709551615))	(__UINT64_C(18446744073709551615))	(__UINT64_C(18446744073709551615))	???	???
UINT_LEAST8_MAX	(255)	(255)	(255)	???	???
UINT_MAX	(INT_MAX * 2U + 1U)	(INT_MAX * 2U + 1U)	(INT_MAX * 2U + 1U)	(INT_MAX * 2U + 1U)	(INT_MAX * 2U + 1U)
UIO_MAXIOV	1024	1024	1024	1024	1024
ULLONG_MAX	(LLONG_MAX * 2ULL + 1)	(LLONG_MAX * 2ULL + 1)	(LLONG_MAX * 2ULL + 1)	(LLONG_MAX * 2ULL + 1)	(LLONG_MAX * 2ULL + 1)
ULONG_LONG_MAX	(LONG_LONG_MAX * 2ULL + 1ULL)	(LONG_LONG_MAX * 2ULL + 1ULL)	(LONG_LONG_MAX * 2ULL + 1ULL)	(LONG_LONG_MAX * 2ULL + 1ULL)	(LONG_LONG_MAX * 2ULL + 1ULL)
ULONG_MAX	(LONG_MAX * 2UL + 1UL)	(LONG_MAX * 2UL + 1UL)	(LONG_MAX * 2UL + 1UL)	(LONG_MAX * 2UL + 1UL)	(LONG_MAX * 2UL + 1UL)
UNDERFLOW	4	4	4	4	4
USHRT_MAX	(SHRT_MAX * 2 + 1)	(SHRT_MAX * 2 + 1)	(SHRT_MAX * 2 + 1)	(SHRT_MAX * 2 + 1)	(SHRT_MAX * 2 + 1)
UTIME_NOW	((1l &lt;&lt; 30) - 1l)	((1l &lt;&lt; 30) - 1l)	((1l &lt;&lt; 30) - 1l)	((1l &lt;&lt; 30) - 1l)	((1l &lt;&lt; 30) - 1l)
UTIME_OMIT	((1l &lt;&lt; 30) - 2l)	((1l &lt;&lt; 30) - 2l)	((1l &lt;&lt; 30) - 2l)	((1l &lt;&lt; 30) - 2l)	((1l &lt;&lt; 30) - 2l)
VER_DEF_CURRENT	1	1	1	1	1
VER_DEF_NONE	0	0	0	0	0
VER_DEF_NUM	2	2	2	2	2
VER_FLG_BASE	0x1	0x1	0x1	0x1	0x1
VER_FLG_WEAK	0x2	0x2	0x2	0x2	0x2
VER_NDX_ELIMINATE	0xff01	0xff01	0xff01	0xff01	0xff01
VER_NDX_GLOBAL	1	1	1	1	1
VER_NDX_LOCAL	0	0	0	0	0
VER_NDX_LORESERVE	0xff00	0xff00	0xff00	0xff00	0xff00
VER_NEED_CURRENT	1	1	1	1	1
VER_NEED_NONE	0	0	0	0	0
VER_NEED_NUM	2	2	2	2	2
WCHAR_MAX	__WCHAR_MAX	__WCHAR_MAX	__WCHAR_MAX	???	???
WCHAR_MIN	__WCHAR_MIN	__WCHAR_MIN	__WCHAR_MIN	???	???
WCONTINUED	8	8	8	8	8
WEXITED	4	4	4	4	4
WEXITSTATUS(status)	__WEXITSTATUS (__WAIT_INT (status))	__WEXITSTATUS (__WAIT_INT (status))	__WEXITSTATUS (__WAIT_INT (status))	__WEXITSTATUS(__WAIT_INT(status))	__WEXITSTATUS(__WAIT_INT(status))
WIFCONTINUED(status)	__WIFCONTINUED (__WAIT_INT (status))	__WIFCONTINUED (__WAIT_INT (status))	__WIFCONTINUED (__WAIT_INT (status))	__WIFCONTINUED(__WAIT_INT(status))	__WIFCONTINUED(__WAIT_INT(status))
WIFEXITED(status)	__WIFEXITED (__WAIT_INT (status))	__WIFEXITED (__WAIT_INT (status))	__WIFEXITED (__WAIT_INT (status))	__WIFEXITED(__WAIT_INT(status))	__WIFEXITED(__WAIT_INT(status))
WIFSIGNALED(status)	__WIFSIGNALED (__WAIT_INT (status))	__WIFSIGNALED (__WAIT_INT (status))	__WIFSIGNALED (__WAIT_INT (status))	__WIFSIGNALED(__WAIT_INT(status))	__WIFSIGNALED(__WAIT_INT(status))
WIFSTOPPED(status)	__WIFSTOPPED (__WAIT_INT (status))	__WIFSTOPPED (__WAIT_INT (status))	__WIFSTOPPED (__WAIT_INT (status))	__WIFSTOPPED(__WAIT_INT(status))	__WIFSTOPPED(__WAIT_INT(status))
WINT_MAX	(4294967295u)	(4294967295u)	(4294967295u)	???	???
WINT_MIN	(0u)	(0u)	(0u)	???	???
WNOHANG	1	1	1	1	1
WNOWAIT	0x01000000	0x01000000	0x01000000	0x01000000	0x01000000
WORD_BIT	32	32	32	32	32
WSTOPPED	2	2	2	2	2
WSTOPSIG(status)	__WSTOPSIG (__WAIT_INT (status))	__WSTOPSIG (__WAIT_INT (status))	__WSTOPSIG (__WAIT_INT (status))	__WSTOPSIG(__WAIT_INT(status))	__WSTOPSIG(__WAIT_INT(status))
WTERMSIG(status)	__WTERMSIG (__WAIT_INT (status))	__WTERMSIG (__WAIT_INT (status))	__WTERMSIG (__WAIT_INT (status))	__WTERMSIG(__WAIT_INT(status))	__WTERMSIG(__WAIT_INT(status))
WUNTRACED	2	2	2	2	2
W_OK	2	2	2	2	2
XATTR_LIST_MAX	65536	65536	65536	65536	65536
XATTR_NAME_MAX	255	255	255	255	255
XATTR_SIZE_MAX	65536	65536	65536	65536	65536
X_OK	1	1	1	1	1
X_TLOSS	1.41484755040568800000e+16	1.41484755040568800000e+16	1.41484755040568800000e+16	1.41484755040568800000e+16	1.41484755040568800000e+16
_ALLOCA_H	1	1	1	1	1
_ANSI_STDARG_H_					
_ANSI_STDDEF_H					
_ASM_GENERIC_ERRNO_BASE_H					
_ASM_GENERIC_ERRNO_H					
_ASM_GENERIC_IOCTL_H					
_ASM_X86_UNISTD_64_H	1	???	???	???	???
_ASM_X86_UNISTD_H				???	???
_ASSERT_H	1	1	1	1	1
_ASSERT_H_DECLS				???	???
_ATFILE_SOURCE	1	1	1	1	1
_BITS_BYTESWAP_H	1	1	1	1	1
_BITS_POSIX1_LIM_H	1	1	1	1	1
_BITS_POSIX2_LIM_H	1	1	1	1	1
_BITS_POSIX_OPT_H	1	1	1	???	???
_BITS_PTHREADTYPES_H	1	1	1	1	1
_BITS_SETJMP_H	1	1	1	1	1
_BITS_SIGCONTEXT_H	1	1	1	1	1
_BITS_SIGTHREAD_H	1	1	1	1	1
_BITS_STAT_H	1	1	1	???	???
_BITS_TIMEX_H	1	1	1	???	???
_BITS_TIME_H	1	1	1	1	1
_BITS_TYPESIZES_H	1	1	1	1	1
_BITS_TYPES_H	1	1	1	1	1
_BITS_UIO_H	1	1	1	1	1
_BITS_WCHAR_H	1	1	1	1	1
